ingredient,cuisine_tags,compound,compound_concentration,target_gene,snp_gene,gene_regulation_weight,snp_impact_weight,pathway,effect,cooking_degradation_factor,vegan,nut_allergen,role,flavor_chinese,flavor_western,flavor_thai,flavor_japanese,usda_kcal_per_100g,usda_fdc_id,preparation,pmid,evidence_note,category,allergens,serving_g,prep_steam,prep_saute,prep_roast,prep_simmer,loss_steam,loss_saute,loss_roast,loss_simmer,evidence_level,flavor_indian,flavor_spanish,flavor_british
Ginger,Chinese,Gingerol proxy,12,NFE2L2,COMT,0.4,1.1,Antioxidant,activation,0.15,1,0,seasoning,98,0,0,0,,,Peel and finely grate 5 g ginger; stir into 1 tablespoon warm water for a light dressing.,,Hypothetical antioxidant support; compound index is synthetic. Nutrient metadata and PMID pending.,spice,,5,Peel and finely grate 5 g ginger; stir into 1 tablespoon warm water for a light dressing.,Peel and finely grate 5 g ginger; stir into 1 tablespoon warm water for a light dressing.,Peel and finely grate 5 g ginger; stir into 1 tablespoon warm water for a light dressing.,Peel and finely grate 5 g ginger; stir into 1 tablespoon warm water for a light dressing.,0.15,0.15,0.15,0.15,Hypothesis only,0,0,0
Light soy sauce,Chinese,Phenolic proxy,3,NFE2L2,COMT,0.2,1.1,Antioxidant,activation,0,1,0,seasoning,99,0,0,0,,,Dilute 5 g light soy sauce with 1 tablespoon warm water. Check the label for soy and wheat.,,Flavor anchor only; synthetic molecular index. Nutrient metadata and PMID pending.,sauce,soy|gluten,5,Dilute 5 g light soy sauce with 1 tablespoon warm water. Check the label for soy and wheat.,Dilute 5 g light soy sauce with 1 tablespoon warm water. Check the label for soy and wheat.,Dilute 5 g light soy sauce with 1 tablespoon warm water. Check the label for soy and wheat.,Dilute 5 g light soy sauce with 1 tablespoon warm water. Check the label for soy and wheat.,0.0,0.0,0.0,0.0,Hypothesis only,0,0,0
Lemon juice,Western|British,Vitamin C proxy,12,NFE2L2,COMT,0.4,1.1,Antioxidant,activation,0,1,0,seasoning,0,98,0,0,,,Squeeze and measure 5 g lemon juice; add to the finished dish.,,Hypothetical pathway support; not direct gene activation. Nutrient metadata and PMID pending.,sauce,,5,Squeeze and measure 5 g lemon juice; add to the finished dish.,Squeeze and measure 5 g lemon juice; add to the finished dish.,Squeeze and measure 5 g lemon juice; add to the finished dish.,Squeeze and measure 5 g lemon juice; add to the finished dish.,0.0,0.0,0.0,0.0,Hypothesis only,0,0,85
Olive oil,Western|Spanish,Phenolic proxy,10,APOE,APOE,0.4,1.2,Lipid,activation,0,1,0,cooking_fat,0,99,0,0,,,Measure 5 g extra virgin olive oil for cooking.,,Indirect dietary-fat hypothesis only. Nutrient metadata and PMID pending.,oil,,5,Measure 5 g extra virgin olive oil for cooking.,Measure 5 g extra virgin olive oil for cooking.,Measure 5 g extra virgin olive oil for cooking.,Measure 5 g extra virgin olive oil for cooking.,0.0,0.0,0.0,0.0,Hypothesis only,0,85,0
Lime juice,Thai,Vitamin C proxy,10,NFE2L2,COMT,0.4,1.1,Antioxidant,activation,0,1,0,seasoning,0,0,99,0,,,Squeeze and measure 5 g lime juice; add after cooking.,,Hypothetical pathway support; not direct gene activation. Nutrient metadata and PMID pending.,sauce,,5,Squeeze and measure 5 g lime juice; add after cooking.,Squeeze and measure 5 g lime juice; add after cooking.,Squeeze and measure 5 g lime juice; add after cooking.,Squeeze and measure 5 g lime juice; add after cooking.,0.0,0.0,0.0,0.0,Hypothesis only,0,0,0
Thai basil,Thai,Phenolic proxy,18,NFE2L2,COMT,0.4,1.1,Antioxidant,activation,0,1,0,seasoning,0,0,98,0,,,Wash and tear 5 g Thai basil leaves; reserve for the finish.,,Synthetic phenolic index; no measured gene effect. Nutrient metadata and PMID pending.,herb,,5,Wash and tear 5 g Thai basil leaves; reserve for the finish.,Wash and tear 5 g Thai basil leaves; reserve for the finish.,Wash and tear 5 g Thai basil leaves; reserve for the finish.,Wash and tear 5 g Thai basil leaves; reserve for the finish.,0.0,0.0,0.0,0.0,Hypothesis only,0,0,0
Miso paste,Japanese,Isoflavone proxy,8,NFE2L2,COMT,0.3,1.1,Antioxidant,activation,0,1,0,seasoning,0,0,0,99,,,Whisk 5 g plain miso paste with 1 tablespoon warm water. Choose miso without fish stock and check the soy label.,,Hypothetical antioxidant edge; not direct gene activation. Nutrient metadata and PMID pending.,sauce,soy,5,Whisk 5 g plain miso paste with 1 tablespoon warm water. Choose miso without fish stock and check the soy label.,Whisk 5 g plain miso paste with 1 tablespoon warm water. Choose miso without fish stock and check the soy label.,Whisk 5 g plain miso paste with 1 tablespoon warm water. Choose miso without fish stock and check the soy label.,Whisk 5 g plain miso paste with 1 tablespoon warm water. Choose miso without fish stock and check the soy label.,0.0,0.0,0.0,0.0,Hypothesis only,0,0,0
Nori,Japanese,Carotenoid proxy,10,NFE2L2,COMT,0.3,1.1,Antioxidant,activation,0,1,0,seasoning,0,0,0,98,,,Cut 5 g plain nori into thin strips; add just before serving.,,Synthetic carotenoid index; nutrient metadata and PMID pending.,herb,,5,Cut 5 g plain nori into thin strips; add just before serving.,Cut 5 g plain nori into thin strips; add just before serving.,Cut 5 g plain nori into thin strips; add just before serving.,Cut 5 g plain nori into thin strips; add just before serving.,0.0,0.0,0.0,0.0,Hypothesis only,0,0,0
Quinoa (cooked),Western,Folate,30,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,base,0,95,0,0,,,Prepare 100 g quinoa (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,grain,,100,"Use 100 g quinoa (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g quinoa (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g quinoa (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g quinoa (cooked), already cooked; reheat with a splash of water until steaming.",0.18,0.18,0.18,0.18,Hypothesis only,0,0,0
Basmati rice (cooked),Indian,Folate,18,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,base,0,0,0,0,,,Prepare 100 g basmati rice (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,grain,,100,"Use 100 g basmati rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g basmati rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g basmati rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g basmati rice (cooked), already cooked; reheat with a splash of water until steaming.",0.18,0.18,0.18,0.18,Hypothesis only,95,0,0
Short-grain rice (cooked),Japanese|Spanish,Folate,20,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,base,0,0,0,95,,,Prepare 100 g short-grain rice (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,grain,,100,"Use 100 g short-grain rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g short-grain rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g short-grain rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g short-grain rice (cooked), already cooked; reheat with a splash of water until steaming.",0.18,0.18,0.18,0.18,Hypothesis only,0,95,0
Jasmine rice (cooked),Thai,Folate,18,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,base,0,0,95,0,,,Prepare 100 g jasmine rice (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,grain,,100,"Use 100 g jasmine rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g jasmine rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g jasmine rice (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g jasmine rice (cooked), already cooked; reheat with a splash of water until steaming.",0.18,0.18,0.18,0.18,Hypothesis only,0,0,0
Pearl barley (cooked),British|Western,Beta-glucan proxy,45,APOE,APOE,0.65,1.2,Lipid,activation,0.18,1,0,base,0,85,0,0,,,Prepare 100 g pearl barley (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,grain,gluten,100,"Use 100 g pearl barley (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g pearl barley (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g pearl barley (cooked), already cooked; reheat with a splash of water until steaming.","Use 100 g pearl barley (cooked), already cooked; reheat with a splash of water until steaming.",0.18,0.18,0.18,0.18,Hypothesis only,0,0,85
Potato,British|Spanish|Indian,Vitamin C proxy,45,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,base,0,0,0,0,,,Prepare 100 g potato.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,root,,100,Peel and cube 100 g potato; steam for 15–20 minutes until tender.,"Cube 100 g potato; cover with a splash of water and pan-cook for 15–20 minutes until tender, then uncover to color.",Cut 100 g potato into small wedges; roast for 30–35 minutes until golden and tender.,"Peel and cube 100 g potato; simmer for 15–20 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,99,99,99
Chickpeas (cooked),Indian|Western|Spanish|British,Folate,70,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,protein,0,95,0,0,,,Prepare 100 g chickpeas (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,legume,,100,Use 100 g chickpeas (cooked); legumes must already be fully cooked. Steam for 5–8 minutes until hot throughout.,"Use 100 g chickpeas (cooked); legumes must already be fully cooked. Pan-cook for 6–8 minutes, turning gently, until heated through.",Use 100 g chickpeas (cooked); legumes must already be fully cooked. Spread on the tray and roast for 15–20 minutes until heated through.,Use 100 g chickpeas (cooked); legumes must already be fully cooked. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,95,95,95
Red lentils (cooked),Indian|British,Folate,85,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,protein,0,0,0,0,,,Prepare 100 g red lentils (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,legume,,100,Use 100 g red lentils (cooked); legumes must already be fully cooked. Steam for 5–8 minutes until hot throughout.,"Use 100 g red lentils (cooked); legumes must already be fully cooked. Pan-cook for 6–8 minutes, turning gently, until heated through.",Use 100 g red lentils (cooked); legumes must already be fully cooked. Spread on the tray and roast for 15–20 minutes until heated through.,Use 100 g red lentils (cooked); legumes must already be fully cooked. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,90,0,90
White beans (cooked),Spanish|Western|British,Folate,65,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,protein,0,98,0,0,,,Prepare 100 g white beans (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,legume,,100,Use 100 g white beans (cooked); legumes must already be fully cooked. Steam for 5–8 minutes until hot throughout.,"Use 100 g white beans (cooked); legumes must already be fully cooked. Pan-cook for 6–8 minutes, turning gently, until heated through.",Use 100 g white beans (cooked); legumes must already be fully cooked. Spread on the tray and roast for 15–20 minutes until heated through.,Use 100 g white beans (cooked); legumes must already be fully cooked. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,0,98,98
Edamame (shelled),Japanese|Chinese,Isoflavone proxy,65,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,protein,91,0,0,91,,,Prepare 100 g edamame (shelled).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,legume,soy,100,Use 100 g edamame (shelled); cook according to the package directions first. Steam for 5–8 minutes until hot throughout.,"Use 100 g edamame (shelled); cook according to the package directions first. Pan-cook for 6–8 minutes, turning gently, until heated through.",Use 100 g edamame (shelled); cook according to the package directions first. Spread on the tray and roast for 15–20 minutes until heated through.,Use 100 g edamame (shelled); cook according to the package directions first. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,0,0,0
Mung beans (cooked),Chinese|Thai|Japanese,Folate,60,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,1,0,protein,75,0,75,75,,,Prepare 100 g mung beans (cooked).,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,legume,,100,Use 100 g mung beans (cooked); legumes must already be fully cooked. Steam for 5–8 minutes until hot throughout.,"Use 100 g mung beans (cooked); legumes must already be fully cooked. Pan-cook for 6–8 minutes, turning gently, until heated through.",Use 100 g mung beans (cooked); legumes must already be fully cooked. Spread on the tray and roast for 15–20 minutes until heated through.,Use 100 g mung beans (cooked); legumes must already be fully cooked. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,0,0,0
Paneer,Indian,Riboflavin proxy,45,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,0,0,protein,0,0,0,0,,,Prepare 100 g paneer.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,dairy,dairy,100,Cube 100 g paneer. Steam for 5–8 minutes until hot throughout.,"Cube 100 g paneer. Pan-cook for 6–8 minutes, turning gently, until heated through.",Cube 100 g paneer. Spread on the tray and roast for 15–20 minutes until heated through.,Cube 100 g paneer. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,98,0,0
Cod,British|Spanish,Omega-3 proxy,65,APOE,APOE,0.65,1.2,Lipid,activation,0.18,0,0,protein,0,0,0,0,,,Prepare 100 g cod.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,fish,fish,100,"Steam 100 g cod for about 8–12 minutes; the center must reach 63°C (145°F), verified with a food thermometer.","Pan-cook 100 g cod for about 4–6 minutes per side; the center must reach 63°C (145°F), verified with a food thermometer.","Roast 100 g cod for about 12–18 minutes; the center must reach 63°C (145°F), verified with a food thermometer.","Poach 100 g cod for about 8–12 minutes; the center must reach 63°C (145°F), verified with a food thermometer.",0.18,0.207,0.27,0.243,Hypothesis only,0,98,98
Egg,British|Spanish|Japanese|Western,Choline proxy,65,MTHFR,MTHFR,0.65,1.2,Methylation,activation,0.18,0,0,protein,0,85,0,85,,,Prepare 100 g egg.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,egg,egg,100,Beat 100 g egg with a spoonful of water in a heatproof dish; steam for 10–15 minutes until set and 71°C (160°F) in the center.,Beat 100 g egg; scramble gently in the pan until fully set and 71°C (160°F).,Beat 100 g egg into a heatproof ramekin; bake for 12–18 minutes until set and 71°C (160°F) in the center.,Poach the egg gently until white and yolk are firm; verify 71°C (160°F).,0.18,0.207,0.27,0.243,Hypothesis only,0,85,85
Bok choy,Chinese,Glucosinolate proxy,65,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,99,0,0,0,,,Prepare 100 g bok choy.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,leafy,,100,Wash and chop 100 g bok choy; steam for 2–3 minutes until tender.,"Wash and slice 100 g bok choy; pan-cook for 2–3 minutes, stirring, until tender.",Wash and chop 100 g bok choy; fold into the hot vegetables for the last 2–3 minutes until wilted.,"Wash and chop 100 g bok choy; simmer for 2–3 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,0,0,0
Shiitake mushrooms,Chinese|Japanese,Ergothioneine proxy,65,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,98,0,0,98,,,Prepare 100 g shiitake mushrooms.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,vegetable,,100,Wash and chop 100 g shiitake mushrooms; steam for 5–7 minutes until tender.,"Wash and slice 100 g shiitake mushrooms; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g shiitake mushrooms; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g shiitake mushrooms; simmer for 8–10 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,0,0,0
Aubergine,Thai|Indian|Spanish,Phenolic proxy,65,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,0,0,95,0,,,Prepare 100 g aubergine.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,vegetable,,100,Wash and chop 100 g aubergine; steam for 5–7 minutes until tender.,"Wash and slice 100 g aubergine; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g aubergine; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g aubergine; simmer for 8–10 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,95,95,0
Red pepper,Thai|Spanish|Western,Carotenoid proxy,80,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,0,99,99,0,,,Prepare 100 g red pepper.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,vegetable,,100,Wash and chop 100 g red pepper; steam for 5–7 minutes until tender.,"Wash and slice 100 g red pepper; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g red pepper; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g red pepper; simmer for 8–10 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,0,99,0
Tomato,Indian|Spanish|Western|British,Lycopene proxy,55,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,0,95,0,0,,,Prepare 100 g tomato.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,vegetable,,100,Wash and chop 100 g tomato; steam for 5–7 minutes until tender.,"Wash and slice 100 g tomato; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g tomato; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g tomato; simmer for 8–10 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,95,95,95
Cauliflower,Indian|British,Glucosinolate proxy,75,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,0,0,0,0,,,Prepare 100 g cauliflower.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,cruciferous,,100,Wash and chop 100 g cauliflower; steam for 5–7 minutes until tender.,"Wash and slice 100 g cauliflower; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g cauliflower; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g cauliflower; simmer for 8–10 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,99,0,99
Courgette,Western|Spanish,Carotenoid proxy,45,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,vegetable,0,90,0,0,,,Prepare 100 g courgette.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,vegetable,,100,Wash and chop 100 g courgette; steam for 5–7 minutes until tender.,"Wash and slice 100 g courgette; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g courgette; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g courgette; simmer for 8–10 minutes until tender, then drain.",0.18,0.207,0.27,0.243,Hypothesis only,0,90,0
Sesame seeds,Chinese|Japanese,Lignan proxy,30,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,garnish,95,0,0,95,,,Prepare 5 g sesame seeds.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,nuts,sesame,5,Sprinkle 5 g sesame seeds over the finished dish.,Sprinkle 5 g sesame seeds over the finished dish.,Sprinkle 5 g sesame seeds over the finished dish.,Sprinkle 5 g sesame seeds over the finished dish.,0.18,0.18,0.18,0.18,Hypothesis only,0,0,0
Coconut milk,Thai,Phenolic proxy,8,NFE2L2,COMT,0.65,1.2,Antioxidant,activation,0.18,1,0,seasoning,0,0,95,0,,,Prepare 30 g coconut milk.,,Synthetic pathway-support hypothesis; not demonstrated direct gene activation. Quantitative evidence and nutrient metadata pending.,sauce,,30,Warm 30 g plain coconut milk with 2 tablespoons water in a small pan for 2 minutes; spoon over the cooked components.,Warm 30 g plain coconut milk with 2 tablespoons water in a small pan for 2 minutes; spoon over the cooked components.,Warm 30 g plain coconut milk with 2 tablespoons water in a small pan for 2 minutes; spoon over the cooked components.,Warm 30 g plain coconut milk with 2 tablespoons water in a small pan for 2 minutes; spoon over the cooked components.,0.18,0.18,0.18,0.18,Hypothesis only,0,0,0
